ID,inchikey,smiles
cpd00048,QAOWNCQODCNURD-UHFFFAOYSA-L,O=S(=O)([O-])[O-]
cpd00048,QAOWNCQODCNURD-UHFFFAOYSA-L,O=S(=O)([O-])[O-]
cpd00049,,*C(=O)[O-]
cpd00050,ANKZYBDXHMZBDK-SCRDCRAPSA-K,Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C
cpd00051,ODKSFYDXXFIFQN-BYPYZUCNSA-O,NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-]
cpd00051,ODKSFYDXXFIFQN-BYPYZUCNSA-O,NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-]
cpd00051,ODKSFYDXXFIFQN-BYPYZUCNSA-O,NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-]
cpd00052,PCDQPRRSZKQHHS-XVFCMESISA-K,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)n1
cpd00053,ZDXPYRJPNDTMRX-VKHMYHEASA-N,NC(=O)CC[C@H]([NH3+])C(=O)[O-]
cpd00053,ZDXPYRJPNDTMRX-VKHMYHEASA-N,NC(=O)CC[C@H]([NH3+])C(=O)[O-]
cpd00053,ZDXPYRJPNDTMRX-VKHMYHEASA-N,NC(=O)CC[C@H]([NH3+])C(=O)[O-]
cpd00054,MTCFGRXMJLQNBG-REOHCLBHSA-N,[NH3+][C@@H](CO)C(=O)[O-]
cpd00054,MTCFGRXMJLQNBG-REOHCLBHSA-N,[NH3+][C@@H](CO)C(=O)[O-]
cpd00055,WSFSSNUMVMOOMR-UHFFFAOYSA-N,C=O
cpd00055,WSFSSNUMVMOOMR-UHFFFAOYSA-N,C=O
cpd00055,WSFSSNUMVMOOMR-UHFFFAOYSA-N,C=O
cpd00056,AYEKOFBPNLCAJY-UHFFFAOYSA-M,Cc1ncc(C[n+]2csc(CCOP(=O)([O-])OP(=O)([O-])O)c2C)c(N)n1
cpd00058,JPVYNHNXODAKFH-UHFFFAOYSA-N,[Cu+2]
cpd00058,JPVYNHNXODAKFH-UHFFFAOYSA-N,[Cu+2]
cpd00058,JPVYNHNXODAKFH-UHFFFAOYSA-N,[Cu+2]
cpd00060,FFEARJCKVFRZRR-BYPYZUCNSA-N,CSCC[C@H]([NH3+])C(=O)[O-]
cpd00060,FFEARJCKVFRZRR-BYPYZUCNSA-N,CSCC[C@H]([NH3+])C(=O)[O-]
cpd00060,FFEARJCKVFRZRR-BYPYZUCNSA-N,CSCC[C@H]([NH3+])C(=O)[O-]
cpd00061,DTBNBXWJWCWCIK-UHFFFAOYSA-K,C=C(OP(=O)([O-])[O-])C(=O)[O-]
cpd00062,PGAVKCOVUIYSFO-XVFCMESISA-K,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1
cpd00063,BHPQYMZQTOCNFJ-UHFFFAOYSA-N,[Ca+2]
cpd00063,BHPQYMZQTOCNFJ-UHFFFAOYSA-N,[Ca+2]
cpd00063,BHPQYMZQTOCNFJ-UHFFFAOYSA-N,[Ca+2]
cpd00064,AHLPHDHHMVZTML-BYPYZUCNSA-O,[NH3+]CCC[C@H]([NH3+])C(=O)[O-]
cpd00065,QIVBCDIJIAJPQS-VIFPVBQESA-N,[NH3+][C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-]
cpd00066,COLNVLDHVKWLRT-QMMMGPOBSA-N,[NH3+][C@@H](Cc1ccccc1)C(=O)[O-]
cpd00067,GPRLSGONYQIRFK-UHFFFAOYSA-N,[H+]
cpd00067,GPRLSGONYQIRFK-UHFFFAOYSA-N,[H+]
cpd00067,GPRLSGONYQIRFK-UHFFFAOYSA-N,[H+]
cpd00068,HAEJPQIATWHALX-KQYNXXCUSA-K,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O
cpd00069,OUYCCCASQSFEME-QMMMGPOBSA-N,[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]
cpd00070,LTYOQGRJFJAKNA-DVVLENMVSA-I,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-]
cpd00071,IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O
cpd00071,IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O
cpd00071,IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O
cpd00072,BGWGXPAPYGQALX-VRPWFDPXSA-L,O=P([O-])([O-])OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
cpd00073,XSQUKJJJFZCRTK-UHFFFAOYSA-N,NC(N)=O
cpd00074,NINIDFKCEFEMDL-UHFFFAOYSA-N,[S]
cpd00076,CZMRCDWAGMRECN-UGDNZRGBSA-N,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
cpd00078,VNOYUJKHFWYWIR-ITIYDSSPSA-I,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)[O-]
